COUNTRY,VISITED,CODE,INFO
Afghanistan,0,AFG,Afghanistan
Albania,0,ALB,Albania
Algeria,0,DZA,Algeria
American Samoa,0,ASM,American Samoa
Andorra,0,AND,Andorra
Angola,0,AGO,Angola
Anguilla,0,AIA,Anguilla
Antigua and Barbuda,0,ATG,Antigua and Barbuda
Argentina,0,ARG,Argentina
Armenia,0,ARM,Armenia
Aruba,0,ABW,Aruba
Australia,0,AUS,Australia
Austria,0,AUT,Austria
Azerbaijan,0,AZE,Azerbaijan
"Bahamas, The",0,BHM,"Bahamas, The"
Bahrain,0,BHR,Bahrain
Bangladesh,0,BGD,Bangladesh
Barbados,0,BRB,Barbados
Belarus,0,BLR,Belarus
Belgium,0,BEL,Belgium
Belize,0,BLZ,Belize
Benin,0,BEN,Benin
Bermuda,0,BMU,Bermuda
Bhutan,0,BTN,Bhutan
Bolivia,0,BOL,Bolivia
Bosnia and Herzegovina,0,BIH,Bosnia and Herzegovina
Botswana,0,BWA,Botswana
Brazil,0,BRA,Brazil
British Virgin Islands,0,VGB,British Virgin Islands
Brunei,0,BRN,Brunei
Bulgaria,0,BGR,Bulgaria
Burkina Faso,0,BFA,Burkina Faso
Burma,0,MMR,Burma
Burundi,0,BDI,Burundi
Cabo Verde,0,CPV,Cabo Verde
Cambodia,0,KHM,Cambodia
Cameroon,0,CMR,Cameroon
Canada,1,CAN,I visited Vancouver with my family.
Cayman Islands,0,CYM,Cayman Islands
Central African Republic,0,CAF,Central African Republic
Chad,0,TCD,Chad
Chile,0,CHL,Chile
China,0,CHN,China
Colombia,0,COL,Colombia
Comoros,0,COM,Comoros
"Congo, Democratic Republic of the",0,COD,"Congo, Democratic Republic of the"
"Congo, Republic of the",0,COG,"Congo, Republic of the"
Cook Islands,0,COK,Cook Islands
Costa Rica,0,CRI,Costa Rica
Cote d'Ivoire,0,CIV,Cote d'Ivoire
Croatia,0,HRV,Croatia
Cuba,0,CUB,Cuba
Curacao,0,CUW,Curacao
Cyprus,0,CYP,Cyprus
Czech Republic,0,CZE,Czech Republic
Denmark,0,DNK,Denmark
Djibouti,0,DJI,Djibouti
Dominica,0,DMA,Dominica
Dominican Republic,0,DOM,Dominican Republic
Ecuador,0,ECU,Ecuador
Egypt,0,EGY,Egypt
El Salvador,0,SLV,El Salvador
Equatorial Guinea,0,GNQ,Equatorial Guinea
Eritrea,0,ERI,Eritrea
Estonia,0,EST,Estonia
Ethiopia,0,ETH,Ethiopia
Falkland Islands (Islas Malvinas),0,FLK,Falkland Islands (Islas Malvinas)
Faroe Islands,0,FRO,Faroe Islands
Fiji,0,FJI,Fiji
Finland,0,FIN,Finland
France,0,FRA,France
French Polynesia,0,PYF,French Polynesia
Gabon,0,GAB,Gabon
"Gambia, The",0,GMB,"Gambia, The"
Georgia,0,GEO,Georgia
Germany,0,DEU,Germany
Ghana,0,GHA,Ghana
Gibraltar,0,GIB,Gibraltar
Greece,0,GRC,Greece
Greenland,0,GRL,Greenland
Grenada,0,GRD,Grenada
Guam,0,GUM,Guam
Guatemala,0,GTM,Guatemala
Guernsey,0,GGY,Guernsey
Guinea-Bissau,0,GNB,Guinea-Bissau
Guinea,0,GIN,Guinea
Guyana,0,GUY,Guyana
Haiti,0,HTI,Haiti
Honduras,0,HND,Honduras
Hong Kong,0,HKG,Hong Kong
Hungary,0,HUN,Hungary
Iceland,0,ISL,Iceland
India,1,IND,"I visit my extended family in Pune, Maharashtra frequently."
Indonesia,0,IDN,Indonesia
Iran,0,IRN,Iran
Iraq,0,IRQ,Iraq
Ireland,0,IRL,Ireland
Isle of Man,0,IMN,Isle of Man
Israel,1,ISR,I visited Israel on an educational trip to learn about the Israeli-Palestinan conflict in winter 2018.
Italy,0,ITA,Italy
Jamaica,0,JAM,Jamaica
